t_s,Vdc_V_Cdc4mF,Vdc_V_Cdc8mF,Vdc_V_Cdc16mF
0.0890445,799.355,799.361,799.379
0.0895448,799.398,799.358,799.384
0.090045,799.414,799.364,799.385
0.0905453,799.385,799.376,799.384
0.0910455,799.346,799.387,799.379
0.0915458,799.339,799.39,799.374
0.092046,799.372,799.384,799.369
0.0925463,799.407,799.373,799.366
0.0930465,799.405,799.363,799.365
0.0935468,799.369,799.36,799.368
0.094047,799.341,799.366,799.372
0.0945473,799.351,799.376,799.377
0.0950475,799.387,799.385,799.381
0.0955478,799.408,799.388,799.383
0.096048,799.392,799.382,799.382
0.0965483,799.357,799.373,799.379
0.0970485,799.342,799.364,799.375
0.0975488,799.364,799.362,799.371
0.098049,799.397,799.368,799.368
0.0985493,799.404,799.377,799.367
0.0990495,799.378,799.384,799.369
0.0995498,799.349,799.386,799.372
0.10005,797.315,798.364,798.867
0.10055,781.728,789.403,794.095
0.101051,785.086,786.035,790.835
0.101551,803.55,790.081,790.004
0.102051,816.321,798.976,791.758
0.102551,809.105,807.387,795.475
0.103052,790.108,810.407,799.972
0.103552,780.673,806.42,803.876
0.104052,791.345,797.948,806.045
0.104552,810.065,790.063,805.898
0.105053,815.778,787.357,803.567
0.105553,802.157,791.274,799.831
0.106053,784.573,799.346,795.858
0.106553,782.75,806.74,792.842
0.107054,798.676,809.149,791.646
0.107554,814.393,805.303,792.559
0.108054,812.267,797.621,795.228
0.108554,794.788,790.696,798.79
0.109055,781.621,788.554,802.148
0.109555,787.51,792.32,804.307
0.110055,805.773,799.633,804.67
0.110555,815.849,806.121,803.195
0.111056,806.484,808.011,800.394
0.111556,788.286,804.325,797.152
0.112056,781.689,797.37,794.453
0.112556,794.049,791.299,793.082
0.113057,811.413,789.636,793.398
0.113557,814.266,793.235,795.242
0.114057,799.497,799.851,798.006
0.114557,783.751,805.532,800.83
0.115058,784.681,806.983,802.87
0.115558,801.182,803.47,803.546
0.116058,814.658,797.183,802.708
0.116558,810.007,791.871,800.665
0.117059,792.551,790.612,798.071
0.117559,781.912,794.034,795.722
0.118059,789.994,800.01,794.309
0.118559,807.652,804.976,794.218
0.11906,815.017,806.055,795.426
0.11956,803.89,802.724,797.523
0.12006,786.846,797.05,799.851
0.12056,783.012,792.412,801.704
0.121061,796.64,791.492,802.549
0.121561,812.357,794.73,802.171
0.122061,812.513,800.12,800.731
0.122561,797.028,804.451,798.697
0.123062,783.335,805.22,796.7
0.123562,786.777,802.075,795.333
0.124062,803.427,796.961,794.982
0.124562,814.531,792.92,795.711
0.125063,807.665,792.285,797.263
0.125563,790.63,795.335,799.143
0.126063,782.564,800.189,800.777
0.126563,792.478,803.959,801.688
0.127064,809.171,804.469,801.631
0.127564,813.873,801.512,800.659
0.128064,801.382,796.909,799.098
0.128564,785.79,793.396,797.436
0.129065,784.588,792.997,796.172
0.129565,799.069,795.86,795.669
0.130065,812.907,800.225,796.048
0.130565,810.58,803.498,797.161
0.131066,794.792,803.795,798.65
0.131566,783.303,801.023,800.055
0.132066,788.977,796.888,800.961
0.132566,805.38,793.841,801.116
0.133067,814.046,793.635,800.502
0.133567,805.301,796.314,799.332
0.134067,789.045,800.234,797.976
0.134567,783.531,803.068,796.846
0.135068,794.902,803.19,796.27
0.135568,810.323,800.602,796.4
0.136068,812.467,796.89,797.169
0.136568,799.009,794.255,798.323
0.137069,785.113,794.208,799.505
0.137569,786.359,796.706,800.36
0.138069,801.29,800.221,800.645
0.138569,813.083,802.669,800.297
0.13907,808.525,802.648,799.444
0.13957,792.821,800.239,798.36
0.14007,783.625,796.913,797.376
0.14057,791.222,794.64,796.784
0.141071,807.019,794.72,796.743
0.141571,813.243,797.043,797.247
0.142071,802.972,800.19,798.123
0.142571,787.806,802.298,799.096
0.143072,784.768,802.164,799.872
0.143572,797.217,799.927,800.227
0.144072,811.113,796.951,800.071
0.144572,810.855,794.997,799.471
0.145073,796.815,795.178,798.621
0.145573,784.8,797.332,797.785
0.146073,788.27,800.145,797.212
0.146573,803.271,801.956,797.064
0.147074,812.91,801.732,797.367
0.147574,806.405,799.66,798.015
0.148074,791.14,797.001,798.801
0.148574,784.265,795.326,799.485
0.149075,793.456,795.586,799.867
0.149575,808.332,797.578,799.845
0.150075,812.167,800.09,799.44
0.150575,800.727,801.639,798.788
0.151076,786.914,801.346,798.093
0.151576,786.223,799.432,797.563
0.152076,799.378,797.06,797.351
0.152576,811.549,795.629,797.508
0.153077,809.088,795.95,797.973
0.153577,794.838,797.788,798.595
0.154077,784.828,800.028,799.183
0.154577,790.265,801.348,799.563
0.155078,804.985,801.003,799.629
0.155578,812.421,799.239,799.373
0.156078,804.275,797.126,798.885
0.156578,789.764,795.908,798.318
0.157079,785.183,796.274,797.845
0.157579,795.629,797.966,797.603
