f_Hz,absZfuente_ohm
206.131,0.0780321
208.22,0.0791433
210.331,0.0802785
212.463,0.0814386
214.617,0.0826243
216.793,0.0838367
218.991,0.0850767
221.211,0.0863452
223.453,0.0876433
225.718,0.088972
228.007,0.0903326
230.318,0.0917261
232.653,0.0931539
235.011,0.0946173
237.394,0.0961178
239.8,0.0976567
242.231,0.0992356
244.687,0.100856
247.167,0.10252
249.673,0.10423
252.204,0.105986
254.761,0.107792
257.343,0.10965
259.952,0.111561
262.588,0.113528
265.249,0.115555
267.938,0.117643
270.655,0.119795
273.398,0.122016
276.17,0.124308
278.97,0.126674
281.798,0.12912
284.654,0.131648
287.54,0.134263
290.455,0.136971
293.399,0.139775
296.374,0.142683
299.378,0.145699
302.413,0.148829
305.479,0.152082
308.576,0.155465
311.704,0.158984
314.864,0.16265
318.056,0.166473
321.28,0.170461
324.537,0.174627
327.827,0.178984
331.15,0.183544
334.507,0.188324
337.898,0.193339
341.324,0.198608
344.784,0.204151
348.279,0.20999
351.81,0.216151
355.376,0.22266
358.979,0.22955
362.618,0.236855
366.294,0.244615
370.007,0.252873
373.758,0.261681
377.547,0.271095
381.375,0.281182
385.241,0.292016
389.146,0.303686
393.091,0.316293
397.076,0.329956
401.101,0.344812
405.167,0.361029
409.275,0.378802
413.424,0.398369
417.615,0.420015
421.848,0.444092
426.125,0.471035
430.445,0.501388
434.808,0.535842
439.216,0.575285
443.669,0.620883
448.166,0.674186
452.71,0.737312
457.299,0.813219
461.935,0.906158
466.618,1.02246
471.348,1.1719
476.126,1.37034
480.953,1.64482
485.829,2.04394
490.754,2.65646
495.729,3.61295
500.754,4.76488
505.83,4.76699
510.958,3.61566
516.138,2.65819
521.37,2.04498
526.656,1.64547
531.995,1.37075
537.388,1.17216
542.836,1.02262
548.339,0.906255
553.897,0.813267
559.512,0.737324
565.184,0.67417
570.914,0.620845
576.702,0.575231
582.548,0.535773
588.453,0.501308
594.419,0.470945
600.445,0.443994
606.532,0.41991
612.68,0.398258
618.892,0.378687
625.165,0.360909
631.503,0.344689
637.905,0.329828
644.372,0.316163
650.904,0.303553
657.502,0.29188
664.168,0.281043
670.901,0.270954
677.702,0.261538
684.572,0.252729
691.512,0.244469
698.522,0.236707
705.603,0.229401
712.756,0.222509
719.982,0.215998
727.281,0.209836
734.654,0.203995
742.101,0.198451
749.624,0.193181
757.223,0.188165
764.9,0.183384
772.654,0.178822
780.487,0.174464
788.399,0.170297
796.391,0.166307
804.464,0.162484
812.62,0.158817
820.858,0.155296
829.179,0.151912
837.585,0.148658
846.076,0.145526
854.653,0.142509
863.317,0.139601
872.069,0.136795
880.909,0.134087
889.839,0.13147
898.86,0.128941
907.972,0.126494
917.177,0.124126
926.475,0.121833
935.867,0.119611
945.354,0.117458
954.938,0.115368
964.618,0.113341
974.397,0.111372
984.275,0.109459
994.253,0.107601
1004.33,0.105794
1014.51,0.104036
1024.8,0.102325
1035.19,0.10066
1045.68,0.0990375
1056.28,0.0974572
1066.99,0.0959169
1077.81,0.094415
1088.73,0.0929502
1099.77,0.0915209
1110.92,0.0901259
1122.18,0.0887639
1133.56,0.0874336
1145.05,0.0861341
1156.66,0.084864
1168.38,0.0836225
1180.23,0.0824085
1192.19,0.0812211
1204.28,0.0800594
1216.48,0.0789226
1228.82,0.0778098
1241.27,0.0767202
1253.86,0.0756531
1266.57,0.0746078
1279.41,0.0735836
1292.38,0.0725799
1305.48,0.071596
1318.71,0.0706313
1332.08,0.0696853
1345.59,0.0687574
1359.23,0.067847
1373,0.0669538
1386.92,0.0660771
1400.98,0.0652165
1415.19,0.0643716
1429.53,0.0635419
1444.02,0.062727
1458.66,0.0619265
1473.45,0.0611401
1488.39,0.0603673
1503.48,0.0596078
1518.72,0.0588613
1534.11,0.0581274
1549.66,0.0574058
1565.37,0.0566962
1581.24,0.0559983
1597.27,0.0553119
1613.47,0.0546365
1629.82,0.053972
1646.34,0.0533182
1663.03,0.0526747
1679.89,0.0520413
1696.92,0.0514178
1714.13,0.0508039
1731.5,0.0501995
1749.06,0.0496043
1766.79,0.0490181
1784.7,0.0484408
1802.79,0.0478721
1821.06,0.0473118
1839.53,0.0467598
1858.17,0.0462158
1877.01,0.0456798
1896.04,0.0451515
1915.26,0.0446309
1934.68,0.0441176
1954.29,0.0436117
1974.1,0.0431128
1994.11,0.042621
2014.33,0.042136
2034.75,0.0416578
2055.38,0.0411861
2076.21,0.0407209
2097.26,0.0402621
2118.52,0.0398094
2140,0.0393629
2161.69,0.0389223
2183.6,0.0384877
2205.74,0.0380588
2228.1,0.0376356
2250.69,0.0372179
2273.5,0.0368057
2296.55,0.0363989
2319.83,0.0359973
2343.35,0.035601
2367.11,0.0352097
2391.1,0.0348234
2415.34,0.034442
2439.83,0.0340655
2464.56,0.0336937
2489.55,0.0333266
2514.78,0.0329641
2540.28,0.0326061
2566.03,0.0322526
