f_Hz,absZdd_ohm,angZdd_deg,absZqq_ohm,angZqq_deg,absZdq_ohm,absZqd_ohm
71.6915,21.6092,34.5511,21.6093,34.5789,3.62868,3.53086
72.9982,21.8474,33.8005,21.8476,33.8276,3.61984,3.52307
74.3288,22.0835,33.0386,22.0838,33.065,3.60962,3.5139
75.6836,22.3172,32.2655,22.3175,32.2914,3.59797,3.50331
77.0631,22.5481,31.4815,22.5486,31.5067,3.58485,3.49125
78.4677,22.7762,30.6866,22.7767,30.7111,3.57022,3.47767
79.898,23.001,29.8809,23.0016,29.9049,3.55403,3.46255
81.3543,23.2223,29.0647,23.2229,29.0881,3.53625,3.44584
82.8371,23.4398,28.238,23.4405,28.2609,3.51684,3.42752
84.347,23.6531,27.4012,23.6539,27.4235,3.49578,3.40755
85.8844,23.8621,26.5544,23.863,26.5762,3.47304,3.38592
87.4499,24.0664,25.6978,24.0673,25.719,3.44859,3.36259
89.0438,24.2658,24.8316,24.2667,24.8524,3.42242,3.33755
90.6669,24.4598,23.9561,24.4608,23.9764,3.39452,3.31079
92.3195,24.6483,23.0716,24.6494,23.0913,3.36487,3.28231
94.0022,24.8309,22.1783,24.832,22.1975,3.33347,3.25209
95.7156,25.0074,21.2764,25.0085,21.2952,3.30033,3.22015
97.4602,25.1774,20.3663,25.1786,20.3847,3.26545,3.18649
99.2366,25.3407,19.4483,25.3419,19.4663,3.22885,3.15113
101.045,25.497,18.5228,25.4983,18.5402,3.19054,3.11408
102.887,25.646,17.5899,25.6473,17.607,3.15056,3.07539
104.763,25.7875,16.6501,25.7888,16.6668,3.10894,3.03507
106.672,25.9211,15.7038,25.9225,15.72,3.06571,2.99317
108.616,26.0468,14.7512,26.0482,14.7671,3.02093,2.94973
110.596,26.1642,13.7929,26.1656,13.8083,2.97464,2.90481
112.612,26.273,12.829,26.2745,12.8441,2.9269,2.85848
114.665,26.3732,11.8601,26.3747,11.8748,2.87779,2.81078
116.755,26.4645,10.8865,26.466,10.9008,2.82736,2.7618
118.883,26.5467,9.90869,26.5482,9.92266,2.77571,2.71161
121.05,26.6196,8.92701,26.6211,8.94064,2.72291,2.66031
123.256,26.6831,7.94191,26.6846,7.9552,2.66906,2.60797
125.503,26.737,6.95382,26.7386,6.96677,2.61425,2.55469
127.79,26.7813,5.96315,26.7829,5.97578,2.55859,2.50058
130.12,26.8158,4.97035,26.8174,4.98267,2.50217,2.44575
132.491,26.8404,3.97586,26.842,3.98787,2.44512,2.39029
134.906,26.8551,2.98011,26.8567,2.99181,2.38754,2.33433
137.365,26.8598,1.98355,26.8614,1.99496,2.32956,2.27799
139.869,26.8545,0.986619,26.8561,0.997737,2.27129,2.22139
142.418,26.8391,-0.0102385,26.8407,0.0005969,2.21287,2.16465
145.014,26.8136,-1.00658,26.8152,-0.99602,2.15442,2.1079
147.657,26.7782,-2.00196,26.7798,-1.99167,2.09608,2.05127
150.349,26.7327,-2.99594,26.7343,-2.98592,2.03797,1.99489
153.089,26.6773,-3.98809,26.6789,-3.97832,1.98022,1.93889
155.88,26.612,-4.97796,26.6136,-4.96844,1.92297,1.8834
158.721,26.537,-5.96513,26.5386,-5.95586,1.86636,1.82856
161.614,26.4523,-6.94917,26.4538,-6.94014,1.81051,1.77449
164.56,26.358,-7.92966,26.3595,-7.92086,1.75554,1.72133
167.559,26.2543,-8.90618,26.2558,-8.89761,1.7016,1.66919
170.613,26.1414,-9.87832,26.1429,-9.86997,1.6488,1.61821
173.723,26.0193,-10.8457,26.0208,-10.8376,1.59727,1.56849
176.89,25.8884,-11.8079,25.8898,-11.7999,1.54712,1.52016
180.114,25.7486,-12.7645,25.7501,-12.7568,1.49845,1.47331
183.397,25.6004,-13.7152,25.6018,-13.7076,1.45139,1.42806
186.74,25.4439,-14.6595,25.4453,-14.6522,1.40602,1.3845
190.143,25.2792,-15.5972,25.2806,-15.5901,1.36242,1.3427
193.609,25.1067,-16.5278,25.1081,-16.5209,1.32069,1.30276
197.138,24.9266,-17.4511,24.9279,-17.4443,1.2809,1.26472
200.731,24.7391,-18.3666,24.7404,-18.36,1.24308,1.22864
204.39,24.5445,-19.2741,24.5458,-19.2677,1.20731,1.19457
208.115,24.3431,-20.1732,24.3443,-20.167,1.17359,1.16252
211.909,24.135,-21.0637,24.1363,-21.0576,1.14197,1.13251
215.771,23.9207,-21.9452,23.9219,-21.9393,1.11242,1.10453
219.704,23.7003,-22.8175,23.7015,-22.8117,1.08495,1.07857
223.709,23.4741,-23.6802,23.4753,-23.6746,1.05952,1.05459
227.786,23.2425,-24.5332,23.2436,-24.5277,1.0361,1.03255
231.938,23.0056,-25.3761,23.0067,-25.3707,1.01462,1.01236
236.166,22.7638,-26.2087,22.7649,-26.2035,0.995003,0.993973
240.471,22.5173,-27.0309,22.5183,-27.0258,0.977176,0.977284
244.854,22.2664,-27.8423,22.2674,-27.8373,0.961037,0.962198
249.317,22.0114,-28.6427,22.0124,-28.6379,0.946482,0.948607
253.861,21.7525,-29.432,21.7535,-29.4273,0.933397,0.936397
258.488,21.4901,-30.2099,21.4911,-30.2054,0.921662,0.925451
263.2,21.2243,-30.9763,21.2253,-30.9719,0.911157,0.915648
267.997,20.9555,-31.731,20.9564,-31.7267,0.901757,0.906867
272.882,20.6838,-32.4738,20.6847,-32.4696,0.893339,0.898987
277.856,20.4095,-33.2046,20.4104,-33.2004,0.885783,0.891894
282.92,20.1329,-33.9231,20.1337,-33.9191,0.878972,0.885473
288.077,19.8541,-34.6293,19.855,-34.6254,0.872792,0.879617
293.328,19.5735,-35.323,19.5743,-35.3192,0.867139,0.874226
298.675,19.2912,-36.0041,19.292,-36.0003,0.861913,0.869204
304.119,19.0074,-36.6723,19.0082,-36.6687,0.857021,0.864465
309.662,18.7224,-37.3277,18.7231,-37.3242,0.852379,0.859929
315.306,18.4363,-37.9701,18.437,-37.9666,0.847908,0.855523
321.053,18.1493,-38.5993,18.15,-38.5959,0.843541,0.851183
326.905,17.8616,-39.2153,17.8623,-39.212,0.839214,0.84685
332.864,17.5734,-39.8178,17.574,-39.8146,0.834872,0.842473
338.931,17.2848,-40.4069,17.2854,-40.4037,0.830468,0.838009
345.109,16.996,-40.9823,16.9966,-40.9792,0.825959,0.833418
351.399,16.7072,-41.544,16.7078,-41.541,0.821309,0.828668
357.804,16.4184,-42.0917,16.419,-42.0888,0.81649,0.823732
364.326,16.1299,-42.6255,16.1305,-42.6227,0.811475,0.818587
370.966,15.8417,-43.1452,15.8423,-43.1424,0.806244,0.813217
377.728,15.554,-43.6505,15.5545,-43.6478,0.800782,0.807605
384.613,15.2668,-44.1415,15.2674,-44.1388,0.795076,0.801743
391.623,14.9804,-44.6178,14.9809,-44.6152,0.789119,0.795624
398.762,14.6947,-45.0794,14.6952,-45.0769,0.782904,0.789244
406.03,14.4099,-45.5261,14.4104,-45.5236,0.776429,0.7826
413.431,14.126,-45.9576,14.1265,-45.9552,0.769693,0.775695
420.966,13.8432,-46.3739,13.8437,-46.3715,0.7627,0.768531
428.639,13.5615,-46.7745,13.562,-46.7722,0.755452,0.761113
436.452,13.281,-47.1594,13.2815,-47.1572,0.747955,0.753447
444.408,13.0018,-47.5282,13.0022,-47.526,0.740217,0.745541
452.508,12.7238,-47.8807,12.7242,-47.8786,0.732245,0.737403
460.756,12.4472,-48.2165,12.4475,-48.2144,0.724048,0.729043
469.154,12.1719,-48.5353,12.1723,-48.5333,0.715637,0.720472
477.705,11.8981,-48.8367,11.8985,-48.8347,0.707023,0.7117
486.413,11.6258,-49.1203,11.6262,-49.1183,0.698217,0.702739
495.279,11.355,-49.3856,11.3554,-49.3836,0.68923,0.693602
504.306,11.0857,-49.632,11.0861,-49.6302,0.680075,0.6843
513.498,10.818,-49.8592,10.8184,-49.8574,0.670764,0.674847
522.858,10.5519,-50.0663,10.5522,-50.0645,0.661311,0.665255
532.388,10.2874,-50.2528,10.2877,-50.2511,0.651727,0.655536
542.092,10.0245,-50.4178,10.0248,-50.4161,0.642027,0.645704
551.973,9.76327,-50.5606,9.76356,-50.5589,0.632221,0.635772
562.034,9.50368,-50.6801,9.50396,-50.6784,0.622325,0.625752
572.278,9.24575,-50.7753,9.24603,-50.7737,0.612349,0.615657
582.709,8.9895,-50.8451,8.98977,-50.8435,0.602308,0.6055
593.33,8.73494,-50.8881,8.7352,-50.8866,0.592213,0.595293
604.145,8.48207,-50.9029,8.48232,-50.9014,0.582077,0.585049
615.157,8.23091,-50.8879,8.23116,-50.8864,0.571912,0.57478
626.369,7.98147,-50.8412,7.9817,-50.8398,0.56173,0.564497
637.786,7.73376,-50.7607,7.73398,-50.7594,0.551543,0.554213
649.411,7.48779,-50.6443,7.48801,-50.643,0.541363,0.543939
661.248,7.24359,-50.4892,7.2438,-50.4879,0.531201,0.533686
673.301,7.00117,-50.2925,7.00138,-50.2913,0.521069,0.523466
685.573,6.76057,-50.0509,6.76078,-50.0497,0.510977,0.513289
698.07,6.52183,-49.7605,6.52202,-49.7593,0.500936,0.503167
710.793,6.28498,-49.417,6.28517,-49.4158,0.490957,0.49311
723.749,6.05008,-49.0154,6.05027,-49.0143,0.481051,0.483128
736.941,5.81721,-48.5501,5.81739,-48.5491,0.471228,0.473232
750.373,5.58644,-48.0145,5.58661,-48.0135,0.461498,0.463431
764.051,5.35788,-47.401,5.35805,-47.4,0.451871,0.453735
777.977,5.13166,-46.7009,5.13182,-46.7,0.442357,0.444155
792.157,4.90793,-45.9041,4.90809,-45.9032,0.432965,0.434699
806.596,4.6869,-44.9987,4.68705,-44.9979,0.423704,0.425377
821.298,4.46879,-43.971,4.46894,-43.9702,0.414585,0.416199
836.268,4.2539,-42.8048,4.25405,-42.8041,0.405616,0.407173
851.511,4.0426,-41.4814,4.04274,-41.4807,0.396807,0.398307
867.032,3.83532,-39.9787,3.83545,-39.9781,0.388165,0.389612
882.835,3.6326,-38.2709,3.63274,-38.2704,0.379701,0.381095
898.927,3.43514,-36.3282,3.43527,-36.3278,0.371421,0.372765
915.312,3.24375,-34.116,3.24387,-34.1156,0.363335,0.36463
931.995,3.05946,-31.5949,3.05958,-31.5947,0.355451,0.356698
948.983,2.88353,-28.7213,2.88365,-28.7213,0.347776,0.348977
966.28,2.7175,-25.4481,2.71761,-25.4482,0.340318,0.341475
983.893,2.56322,-21.7276,2.56332,-21.7279,0.333085,0.334198
1001.83,2.42288,-17.5167,2.42298,-17.5172,0.326083,0.327154
1020.09,2.29903,-12.7847,2.29912,-12.7854,0.319319,0.320349
1038.68,2.19444,-7.52412,2.19452,-7.5251,0.312801,0.31379
1057.61,2.11201,-1.76414,2.11209,-1.76536,0.306532,0.307483
1076.89,2.05448,4.41836,2.05455,4.41692,0.300521,0.301433
1096.52,2.02406,10.895,2.02412,10.8934,0.29477,0.295645
1116.5,2.02211,17.4953,2.02216,17.4936,0.289285,0.290124
1136.86,2.04886,24.0298,2.0489,24.028,0.284069,0.284873
1157.58,2.1034,30.3201,2.10343,30.3183,0.279126,0.279895
1178.68,2.18387,36.225,2.18389,36.2233,0.274458,0.275193
1200.16,2.28775,41.6538,2.28776,41.6522,0.270066,0.270769
1222.04,2.41226,46.5654,2.41227,46.5639,0.265952,0.266623
1244.31,2.55467,50.9587,2.55467,50.9574,0.262115,0.262755
1266.99,2.71241,54.8595,2.71241,54.8583,0.258555,0.259165
1290.08,2.88326,58.3085,2.88326,58.3074,0.25527,0.25585
1313.6,3.06532,61.3528,3.06531,61.3519,0.252257,0.252808
1337.54,3.257,64.04,3.25698,64.0391,0.249512,0.250035
1361.92,3.457,66.4148,3.45698,66.414,0.24703,0.247527
1386.75,3.66426,68.5179,3.66425,68.5173,0.244807,0.245277
1412.02,3.87794,70.3852,3.87792,70.3846,0.242836,0.243281
1437.76,4.09734,72.0479,4.09732,72.0473,0.241109,0.24153
1463.97,4.3219,73.5327,4.32189,73.5322,0.239619,0.240016
1490.65,4.55119,74.8628,4.55117,74.8624,0.238357,0.238732
1517.82,4.78484,76.0578,4.78482,76.0574,0.237315,0.237668
1545.49,5.02257,77.1345,5.02256,77.1342,0.236482,0.236815
1573.66,5.26416,78.1075,5.26414,78.1072,0.235849,0.236162
1602.34,5.50943,78.989,5.50941,78.9887,0.235406,0.235699
1631.55,5.75824,79.7897,5.75822,79.7895,0.235141,0.235416
1661.28,6.01048,80.5188,6.01046,80.5185,0.235044,0.235302
1691.56,6.26609,81.1841,6.26607,81.1839,0.235105,0.235347
1722.4,6.525,81.7926,6.52498,81.7924,0.235312,0.235539
1753.79,6.78718,82.3502,6.78717,82.35,0.235656,0.235868
1785.76,7.05262,82.8621,7.0526,82.862,0.236126,0.236324
1818.31,7.3213,83.333,7.32128,83.3329,0.236711,0.236897
1851.45,7.59324,83.7669,7.59322,83.7668,0.237403,0.237576
