re_1/s,im_rad/s,f_Hz,zeta
-50.0078,0,0,1
-50.0579,0,0,1
-134.269,133.826,21.2991,0.708274
-134.269,-133.826,21.2991,0.708274
-946.52,5996.35,954.349,0.155919
-946.52,-5996.35,954.349,0.155919
-1100.34,6743.39,1073.24,0.161043
-1100.34,-6743.39,1073.24,0.161043
-5684.46,0,0,1
-6373.78,0,0,1
